date,game,map,match_type,my_duration,my_rank,rp_earned,premade_squad,voice_chat,squad_placed,teamate_count,my_quit,teamate_quit_count,my_legend,teamate_1_legend,teamate_2_legend,my_damage,teamate_1_damage,teamate_2_damage,my_kills,teamate_1_kills,teamate_2_kills,my_assists,teamate_1_assists,teamate_2_assists,my_knocks,teamate_1_knocks,teamate_2_knocks,my_revives,teamate_1_revives,teamate_2_revives,my_respawns,teamate_1_respawns,teamate_2_respawns,,
11/06/2022,31,broken moon,ranked,665,S2,37,no,no,6,2,0,,Catalyst,Seer,Wraith,301,712,160,0,2,1,2,1,0,0,2,1,0,2,1,0,0,0,,
11/06/2022,32,broken moon,ranked,149,S2,-28,no,no,17,2,0,0,Catalyst,Horizon,Octane,78,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,,
11/06/2022,33,broken moon,ranked,199,S2,-25,no,no,14,2,0,0,Catalyst,Vantage,Bangalore,304,245,230,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,,
11/06/2022,34,broken moon,ranked,141,S2,-27,no,no,15,2,0,0,Bangalore,Wraith,Catalyst,170,265,156,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,,
11/06/2022,35,broken moon,ranked,149,S2,-28,no,no,16,2,0,0,Catalyst,NA,NA,84,96,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11/06/2022,36,broken moon,ranked,437,S2,-27,no,no,14,2,0,0,Catalyst,Vantage,Wraith,60,314,237,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,
11/06/2022,37,broken moon,ranked,766,S2,17,no,no,5,2,0,0,Catalyst,Caustic,Gibraltar,357,192,501,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,
11/06/2022,38,broken moon,ranked,917,S2,162,no,no,3,2,0,0,Pathfinder,Octane,Catalyst,761,486,497,2,1,4,3,1,1,2,1,4,0,0,0,0,0,1,,
11/07/2022,39,broken moon,casual ,205,S2,0,no,no,13,2,0,0,Seer,Catalyst,Fuse,311,212,316,1,2,0,1,0,1,1,2,1,1,1,0,0,0,0,,
11/07/2022,40,broken moon,casual,277,S2,0,no,no,12,1,0,0,Horizon,Pathfinder,NA,122,58,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,,
11/07/2022,41,broken moon,casual ,NA,S2,0,no,no,6,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/07/2022,42,broken moon,casual ,58,S2,0,no,no,19,2,0,0,Horizon,Caustic,Fuse,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11/07/2022,43,broken moon,casual ,235,S2,0,no,no,11,2,0,1,Catalyst,Pathfinder,Horizon,192,150,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,
11/07/2022,44,broken moon,casual,NA,S2,0,yes,yes,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
